Tweet,Stance,Index,Original Tweet
rt gunn jessica because i want young american women to be able to be proud of the 1st woman president,FAVOR,1673,RT @GunnJessica: Because I want young American women to be able to be proud of the 1st woman president #SemST
chris 1791 news busters too years ago # hillary # never answered whether she used private email # liberal # media passed on reporting,AGAINST,1674,@Chris_1791 @newsbusters 2 years ago #Hillary never answered whether she used private email #Liberal media passed on reporting #SemST
"d new hauser take that , marco rubio gop cannot pander to the latino vote while pushing policies that hurt the community most",NONE,1675,"@dnewhauser take that, Marco Rubio. @GOP cannot pander to the Latino vote while pushing policies that hurt the community most. #SemST"
state dept amb cathy russell adam smith usa hillary clinton hillary for i a barack obama the whole # world # is supporting you,FAVOR,1676,@StateDept @AmbCathyRussell @AdamSmith_USA @HillaryClinton @HillaryforIA @BarackObama The whole #world is supporting you. #SemST
lets remember # dick cheney # is an unindicted war criminal before we start yelling # benghazi # day after day will we ever see justice ?,NONE,1677,Lets remember #dickcheney is an unindicted war criminal b4 we start yelling #Benghazi day after day. Will we ever see justice? #SemST
"although i certainly have disagreements , after reading about governor o malley i much rather have him than hillary clinton",AGAINST,1678,"Although I certainly have disagreements, after reading about @GovernorOMalley I much rather have him than @HillaryClinton. #SemST"
human rights are women 's rights and women 's rights are human rights hillary clinton,FAVOR,1679,Human rights are women's rights and women's rights are human rights. - Hillary Clinton #SemST
"would you want to be in a long term relationship with some bitch that hides her emails , lies to your face ? then # dont vote #",AGAINST,1680,"Would you wanna be in a long term relationship with some bitch that hides her emails, & lies to your face? Then #Dontvote #SemST"
bill clinton just wants to be the first dude to be president and bang one,NONE,1681,Bill Clinton just wants to be the first dude to be President and bang one. #SemST
huff post pol if hillary clinton can do half of what he did then she would be doing is a favor,FAVOR,1682,@HuffPostPol If @HillaryClinton can do half of what he did then she would be doing is a favor #SemST
"i 've made my decision , to the shock of no one probably , who i'm supporting",NONE,1683,"I've made my decision, to the shock of no one probably, who I'm supporting  #SemST"
did n't realize bob dole was mentioned in tupac 's how do you want it # yesterdays leaders #,NONE,1684,"Didn't realize Bob Dole was mentioned in Tupac's ""How do u want it"" #YesterdaysLeaders #SemST"
if i run for office this will be my original logo am # liberty not hillary # # hill no # # t cot # # unite blue #,AGAINST,1685,If I run for office this will be my original logo:          M   #libertynothillary  #HillNo #tcot #UniteBlue #SemST
i will be there when your little tree has run out of smell # that champion #,NONE,1686,I will be there when your little tree has run out of smell. #ThatChampion #SemST
crazy to think next up for the oval office is either going to be hillary or a republican,AGAINST,1687,crazy to think next up for the Oval Office is either going to be Hillary or a Republican #SemST
nacl a brasil wire same old s t obama who ? ? barack obama ? ? ) ) ) ) are you joking ? # stop dil ma # # stop lula # # stop for odesa o paulo #,NONE,1688,@NACLA @BrasilWire SOS OBAMA Who?? @BarackObama ?? :-))))  Are you joking? #StopDilma #StopLula #StopForodeSaoPaulo #SemST
cheeky gent chuck c johnson hey hillary is on her to way to buy votes too ! # hillary so old #,AGAINST,1689,@CheekyGent @ChuckCJohnson Hey Hillary is on her to way to buy votes too! #HillarySoOld #SemST
"rt nicola sturgeon it 's official hillary 's running for president , says her campaign chief excellent !",FAVOR,1690,"RT @NicolaSturgeon: ""It's official: Hillary's running for president,"" says her campaign chief. Excellent! #SemST"
only in a sexist as fuck world would we question the qualifications of a former secretary of state,FAVOR,1691,"Only in a SEXIST AS FUK world would we question the ""qualifications"" of a former SECRETARY OF STATE. #SemST"
chris christie could n't run his way out of a paper bag let alone beat # hillary clinton # go home chris you are drunk # chris christie #,FAVOR,1692,@ChrisChristie couldn't run his way out of a paper bag let alone beat #HillaryClinton. Go home Chris u r drunk. #ChrisChristie #SemST
reformed broker to the hon ies gittin money playing # bleep # words like dummies # poppa #,NONE,1693,"@ReformedBroker ""to da honies gittin money playing #bleep words like dummies"" #POPPA #SemST"
forgive # cheryl rios # of her stupid comments about women being president she will blame it on that time of the month anyways,NONE,1694,Forgive #CherylRios of her stupid comments about women being president. She will blame it on that time of the month anyways. #SemST
low key it would be interesting to have a female president,FAVOR,1695,Low key it would be interesting to have a female president. #SemST
"sean hannity we lost for , 000 of our military boys when your president pulled out of iraq # liberal consequences #",AGAINST,1696,"@seanhannity we lost 4,000 of our Military boys when your President pulled out of Iraq.  #LiberalConsequences  #SemST"
ethan obama i know it 's just going to be a long year !,NONE,1697,.@EthanObama I know - it's just going to be a long year! #SemST
"technically , a president with raging hormones could refer to estrogen , testosterone or anabolic steroids # i blame public schools #",AGAINST,1698,"Technically, a president with raging hormones could refer to estrogen, testosterone or anabolic steroids #IBlamePublicSchools #SemST"
does hillary really need to run this country ? could we just make her president of the bingo club at shady pines ? # t cot # # p2 #,AGAINST,1699,Does Hillary really need to run this country? Could we just make her president of the Bingo club at Shady Pines?  #tcot #p2 #SemST
laughing out loud why do so many people around here hate hillary ?,FAVOR,1700,Lol why do so many people around here hate Hillary?  #SemST
"hillary clinton is at the top , and has spent her whole career growing government , keeping the deck stacked # liberty not hillary #",AGAINST,1701,"@HillaryClinton is at the top, and has spent her whole career growing government, keeping the deck stacked. #LibertyNotHillary #SemST"
"problem with # libertarian # is it 's not even a decreed party a house divided against itself , will not stand think this news to",NONE,1702,"Problem with #libertarian is it's not even a decreed party. A house devided against itself, will not stand. think this news to #SemST"
hillary clinton i am portuguese and i support your campaign ! best luck ! the world need a person and a women like you ! # usa #,FAVOR,1703,@HillaryClinton i am portuguese and i support your campaign! Best luck! The world need a person and a women like you! #USA #SemST
hillary clinton for ambassador to isis,AGAINST,1704,Hillary Clinton for Ambassador to ISIS. #SemST
"so when all you brave patriots stop hillary , who you going to replace her with , jeb bush ? laughing out loud # losers #",FAVOR,1705,"So when all you brave patriots stop Hillary, who you going to replace her with, Jeb Bush? LOL. #losers #SemST"
i'm a woman can i be president ? stop hillary pac,AGAINST,1706,I'm a woman. Can I be President? @StopHillaryPAC #SemST
this is not her first time at the rodeo ! hillary clinton does n't care who likes her or not this woman is on a mission # tough #,FAVOR,1707,This is not her first time at the rodeo!  @HillaryClinton doesn't care who likes her or not This woman is on a mission #Tough #SemST
la jou et reine kar ratti paul i'm not a gen italian,NONE,1708,@lajouetreine @KarrattiPaul I'm not a Genitalian #SemST
wondering what the next idiotic gop smear against hillary clinton will be it 's coming for sure just do n't know details yet,FAVOR,1709,Wondering what the NEXT idiotic GOP smear against @HillaryClinton will be. It's coming for sure. Just don't know details yet. #SemST
hillary is killing it so far on the trail she 's finally showing her personal side and i think it will benefit her profoundly,FAVOR,1710,Hillary is killing it so far on the trail. She's finally showing her personal side and I think it will benefit her profoundly. #SemST
do we call bill mr president the first 1st man of or mr president the 1st man ? laughing out loud # im ready for hillary #,FAVOR,1711,Do we call Bill Mr President...the first 1st man of Or mr president the 1st man? Lol #imreadyforhillary #SemST
gail talk tr scoop of course it was she 'll be handled every step of the way they ca n't risk her unscripted,AGAINST,1712,.@gailtalk @trscoop Of course it was. She'll be handled every step of the way. They can't risk her unscripted. #SemST
i just want my dog to stop eating the trash,NONE,1713,I just want my dog to stop eating the trash #SemST
the hill evan perez are you kidding me leave her to focus on issues the next prez,FAVOR,1714,@thehill @evanperez are you kidding me...leave her to focus on issues...the next prez #SemST
congratulations hillary clinton on entering the 2016 race for president ! you have the support of jews all over the world !,FAVOR,1715,Congratulations @HillaryClinton on entering the 2016 race for President! You have the support of Jews all over the world! #SemST
"hillary clinton had more twitter followers then all four major republican candidates ( bush , rubio , paul , cruz ) combined",FAVOR,1716,"@HillaryClinton had more twitter followers then all four major Republican candidates (Bush, Rubio, Paul, Cruz) COMBINED. #SemST"
# hillary clinton # has yet to release clinton fd n donors public deserves disclosure # scandals # # lies # # clinton #,AGAINST,1717,#HillaryClinton has yet to release @ClintonFdn donors... Public deserves disclosure. #Scandals #lies #Clintons #SemST
i want to go back in time to when men and women could n't appear in the same yearbook as each other # old # school,NONE,1718,I want to go back in time to when men and women couldn't appear in the same yearbook as each other #old school #SemST
rt hale razor # hillary accomplishments # 1 of select few people fired for being too unethical too investigate watergate,AGAINST,1719,RT @hale_razor:#HillaryAccomplishments 1 of select few people fired 4 being 2 unethical 2 investigate Watergate #SemST
how can she live with herself ? # benghazi #,AGAINST,1720,How can she live with herself? #Benghazi #SemST
marriage equality a constitutional right ! woohoo # hrc 2016 # # hillary clinton # # ready for hillary # # vote # # hillary for 2016 # # ## m pot us #,FAVOR,1721,Marriage equality a constitutional right! Woot #HRC2016 #hillaryclinton #readyforhillary #vote #hillaryfor2016 ##mpotus #SemST
hillary needs to go to a sheetz gas station after 10 pm to see the real america,AGAINST,1722,Hillary needs to go to a Sheetz gas station after 10 pm to see the real America. #SemST
hillary 's campaign events are scripted dog pony shows designed to shelter her from vetting before the coronation,AGAINST,1723,Hillary's campaign events are scripted dog & pony shows designed to shelter her from vetting b4 the coronation #SemST
