Unnamed:0,sentence,ent_nut,ent_pos,ent_neg,sta_nut,sta_sup,sta_opp,senti,label
0,always a delight to see chest drumming alpha males hiss and scuttle backwards up the wall when a feminist enters the room # manly #,-0.025120847,-0.039339185,-0.025120847,3.6921373183479202,3.659146782608155,2.5079289587537152,Negative,support
1,sometimes i overheat and want to take off my shirt but ca n't because of social expectations of people with breasts and,-0.025152433999999998,-0.039484918,-0.025152433999999998,4.813792684005552,4.709352916510597,3.73732187190476,Negative,support
2,"if feminists spent 1 too as much time reading papers as they do tumblr they would be real people , not ignorant sexist bigots",-0.025191657000000003,-0.03970004,-0.025191657000000003,5.472597056445229,5.13533459451541,4.603966369857881,Negative,oppose
3,"stupid feminists , the civilization you take for granted was built with the labor , blood sweat and tears of men",-0.02510963,-0.03921303,-0.02510963,3.1669627338512014,2.7644413791894595,2.7528498427514494,Negative,oppose
4,you're a girl and have a sex drive ! ? you must be a slut ! # feminist #,-0.025292814,-0.041054033,-0.025292814,5.374104796092403,5.180972066588988,4.394509181033355,Negative,support
5,suns out dresses out # street harassment # out this should n't be daily life # yes all women # everyday sexism,-0.025164887,-0.039676792999999995,-0.025164887,5.050540695254705,4.952737157215841,3.9989086049147846,Negative,support
6,women 's rights are # human rights # ! join the # cp d voices # twitter rally at 3pm et if you agree ! # cp d 48 #,-0.025040372999999998,-0.038817048,-0.025040372999999998,5.354166377487487,5.2487245611177205,4.39651042412008,Positive,support
7,so you support unequal pricing based on gender camille bo grand ? do n't you normally call that sexism ? # equal payday #,-0.025069728,-0.039120242,-0.025069728,4.206811915140347,4.1910271767740985,3.108718692269333,Negative,support
8,these pictures of # porn stars # with without makeup ? just perpetuating the myth that women need makeup to be considered pretty,-0.025141329,-0.039532557,-0.025141329,4.862883966446121,4.760065021149805,4.004498851653933,Negative,support
9,# yes all women # should know how to protect herself which is why i carry a gun # republican values #,-0.02520942,-0.039953753,-0.02520942,6.288659288382857,6.119556974199875,5.246015726862527,Positive,support
10,links in s aug a got to stop chin c ing girls and taking away that extra bit # i know you do it # # equality #,-0.024952356000000002,-0.03829802,-0.024952356000000002,5.389224367294357,5.26827978485187,4.316925168438654,Negative,support
11,rt iso cynic i support whatever team buck supports # true fan # # socceroos # # body positive #,-0.025065742000000002,-0.038894913999999996,-0.025065742000000002,5.683000855745988,4.906061313436021,4.227469356229362,Positive,neutral
12,tired of anti womanist respectability politics we need a safe space for women can look like they 're at the club at an interview,-0.025018524,-0.038639955,-0.025018524,5.0359805361116745,4.91880305410941,3.964782186505562,Negative,support
13,"if you 're a feminist and you hate men , please kill yourself",-0.025272585,-0.040816605,-0.025272585,4.9668274794286065,4.717655439098196,4.169220644173806,Negative,oppose
14,"women do n't make 75 less than men for the same job women , on average , make less then men look it up f emi nazis # equal payday #",-0.02475734,-0.037519053,-0.02475734,4.897801978648694,4.690008232192632,4.097617206309686,Negative,oppose
15,lucy blake man 12 you need feminism more than you need anything else in your life you could n't survive or speak with oh it,-0.024917357,-0.03809683,-0.024917357,4.892115350598188,4.724799556796516,3.9000584034654646,Negative,support
16,"mr as just tried to enlighten me , which went about as well as the flight of the hindenburg",-0.02525939,-0.04038866,-0.02525939,4.926265881690097,4.671392719083473,3.5619624029759955,Negative,support
17,why do girls women spend so much time to be pretty and attractive and then complain if they 're reduced to a sex symbol ?,-0.025112442999999998,-0.039246693,-0.025112442999999998,5.362923896751452,5.129375818712126,4.472789369634818,Negative,oppose
18,random tweet or i hate to break it to you brother but women do get pretty for us they get pretty to show other women # feminist #,-0.024987146000000002,-0.03845144,-0.024987146000000002,4.5200048553708365,4.296431385212164,3.5654470347149805,Negative,support
