Tweet,Stance,Index,Original Tweet
always a delight to see chest drumming alpha males hiss and scuttle backwards up the wall when a feminist enters the room # manly #,FAVOR,1009,Always a delight to see chest-drumming alpha males hiss and scuttle backwards up the wall when a feminist enters the room. #manly #SemST
sometimes i overheat and want to take off my shirt but ca n't because of social expectations of people with breasts and,FAVOR,1010,Sometimes I overheat and want to take off my shirt but can't because of social expectations of people with breasts. ;n; #SemST
"if feminists spent 1 too as much time reading papers as they do tumblr they would be real people , not ignorant sexist bigots",AGAINST,1011,"If feminists spent 1/2 as much time reading papers as they do tumblr they would be real people, not ignorant sexist bigots. #SemST"
"stupid feminists , the civilization you take for granted was built with the labor , blood sweat and tears of men",AGAINST,1012,"Stupid Feminists, the civilization you take for granted was built with the labour, blood sweat and tears of men. #SemST"
you're a girl and have a sex drive ! ? you must be a slut ! # feminist #,FAVOR,1013,YOU'RE A GIRL AND HAVE A SEX DRIVE!? YOU MUST BE A SLUT! #feminist #SemST
suns out dresses out # street harassment # out this should n't be daily life # yes all women # everyday sexism,FAVOR,1014,Suns out....  Dresses out...  #StreetHarassment out...  This shouldn't be daily life  #YesAllWomen @EverydaySexism #SemST
women 's rights are # human rights # ! join the # cp d voices # twitter rally at 3pm et if you agree ! # cp d 48 #,FAVOR,1015,Women's rights are #humanrights! Join the #CPDvoices twitter rally at 3pm ET if you agree! #CPD48 #SemST
so you support unequal pricing based on gender camille bo grand ? do n't you normally call that sexism ? # equal payday #,FAVOR,1016,So you support unequal pricing based on gender @CamilleBogrand?  Don't you normally call that sexism?  #EqualPayDay #SemST
these pictures of # porn stars # with without makeup ? just perpetuating the myth that women need makeup to be considered pretty,FAVOR,1017,These pics of #pornstars with/without makeup? Just perpetuating the myth that women need makeup to be considered pretty. #SemST
# yes all women # should know how to protect herself which is why i carry a gun # republican values #,FAVOR,1018,#YesAllWomen should know how to protect herself. Which is why I carry a gun. #republicanvalues #SemST
links in s aug a got to stop chin c ing girls and taking away that extra bit # i know you do it # # equality #,FAVOR,1019,links in sauga gotta stop chincing girls and taking away that extra bit #iknowyoudoit  #equality #SemST
rt iso cynic i support whatever team buck supports # true fan # # socceroos # # body positive #,NONE,1020,RT @isocynic: I support whatever team buck supports #truefan #socceroos #bodypositive #SemST
tired of anti womanist respectability politics we need a safe space for women can look like they 're at the club at an interview,FAVOR,1021,tired of anti-womanist respectability politics. we need a safe space for women can look like they're at the club at an interview #SemST
"if you 're a feminist and you hate men , please kill yourself",AGAINST,1022,"If you're a feminist AND you hate men, please kill yourself. #SemST"
"women do n't make 75 less than men for the same job women , on average , make less then men look it up f emi nazis # equal payday #",AGAINST,1023,"Women don't make 75% less than men for the same job. Women, on average, make less then men. Look it up feminazis. #EqualPayDay #SemST"
lucy blake man 12 you need feminism more than you need anything else in your life you could n't survive or speak with oh it,FAVOR,1024,@lucyblakeman12 You need feminism more than you need anything else in your life. You couldn't survive or speak w/o it. #SemST
"mr as just tried to enlighten me , which went about as well as the flight of the hindenburg",FAVOR,1025,"MRAs just tried to ""enlighten"" me, which went about as well as the flight of the Hindenburg. #SemST"
why do girls women spend so much time to be pretty and attractive and then complain if they 're reduced to a sex symbol ?,AGAINST,1026,Why do girls/women spend so much time to be pretty and attractive and then complain if they're reduced to a sex symbol? #SemST
random tweet or i hate to break it to you brother but women do get pretty for us they get pretty to show other women # feminist #,FAVOR,1027,@randomtweetor i hate to break it to u bruh but women do get pretty for us. They get pretty to show other women #feminist #SemST
"job should always go to best candidate , regardless of gender gender should n't even matter anymore , it 's 2015 ! # paul henry #",FAVOR,1028,"Job should always go to best candidate, regardless of gender. Gender shouldn't even matter anymore, it's 2015! #PaulHenry #SemST"
"what do you say to a woman with two black eyes ? nothing , she 's already been told twice",AGAINST,1029,"What do you say to a woman with two black eyes?  Nothing, she's already been told twice.   #SemST"
did you know ? gender stereotypes as we know then developed with beginning of the 18 century # gender #,FAVOR,1030,Did you know? Gender stereotypes as we know then developed with beginning of the 18. century. #gender #SemST
the time for gender equality is now !,FAVOR,1031,the time for gender equality is NOW! #SemST
"as chip kidd announces the readers asks us to hold their applause , the audience cant hold it back for gloria steinem # poetry #",NONE,1032,"As Chip Kidd announces the readers & asks us to hold their applause, the audience cant hold it back for @GloriaSteinem #poetry #SemST"
women get paid far more than men to appear in pornography how come no one is talking about this blatant sexism ? ! amazing atheist,AGAINST,1033,Women get paid far more than men to appear in pornography. How come no one is talking about this blatant sexism?!  @amazingatheist #SemST
you know you 're in a patriarchy when women are the ones who are blamed for prostitution # what is justice # # inequality #,FAVOR,1034,You know you're in a patriarchy when women are the ones who are blamed for prostitution #whatisjustice #inequality #SemST
when is it okay for a married 49 year old ceo to use his power and influence to fuck his 22 year old intern ? # ask hillary #,FAVOR,1035,When is it ok for a married 49-year-old CEO to use his power and influence to shag his 22-year-old intern? #AskHillary #SemST
i love that girl eric wy n alda on megan rap in oe 15 what the hell fox sports 1 ? way to diminish women 's soccer # us w nt #,FAVOR,1036,I love that girl @EricWynalda on @meganrapinoe_15 What the hell @FOXSports1? Way to diminish women's soccer #USWNT #SemST
