Unnamed:0,sentence,ent_nut,ent_pos,ent_neg,sta_nut,sta_sup,sta_opp,senti,label
0,rt gunn jessica because i want young american women to be able to be proud of the 1st woman president,-0.021760711,0.12263433,-0.021760711,4.113608796,4.374002936,3.29365006,Negative,support
1,chris 1791 news busters too years ago # hillary # never answered whether she used private email # liberal # media passed on reporting,-0.016345626,0.14522736,-0.016345626,5.265817536,5.680494601,4.224225414,Positive,oppose
2,"d new hauser take that , marco rubio gop cannot pander to the latino vote while pushing policies that hurt the community most",-0.026177268,0.12160742,-0.026177268,4.949461879,5.151120969,3.959295722,Negative,neutral
3,state dept amb cathy russell adam smith usa hillary clinton hillary for i a barack obama the whole # world # is supporting you,-0.003561027,0.23229578,-0.003561027,2.609506508,2.824660923,1.948413803,Negative,support
4,lets remember # dick cheney # is an unindicted war criminal before we start yelling # benghazi # day after day will we ever see justice ?,-0.007554567,0.16563143,-0.007554567,4.562176431,4.381922224,3.052644075,Positive,neutral
5,"although i certainly have disagreements , after reading about governor o malley i much rather have him than hillary clinton",-0.035053127,0.09431075,-0.035053127,4.363629685,4.834696276,3.329630943,Negative,oppose
6,human rights are women 's rights and women 's rights are human rights hillary clinton,-0.036744274,0.09261842,-0.036744274,4.825810237,4.667861293,3.146022658,Positive,support
7,"would you want to be in a long term relationship with some bitch that hides her emails , lies to your face ? then # dont vote #",-0.033841275,0.0911138,-0.033841275,4.291392249,4.277347253,2.993703333,Negative,oppose
8,bill clinton just wants to be the first dude to be president and bang one,-0.033003956,0.09053413,-0.033003956,3.503559891,3.80909609,2.837337586,Negative,neutral
9,huff post pol if hillary clinton can do half of what he did then she would be doing is a favor,-0.03355263,0.093041785,-0.03355263,3.310829301,3.73174744,2.927405424,Negative,support
10,"i 've made my decision , to the shock of no one probably , who i'm supporting",-0.037148148,0.09604356,-0.037148148,3.823937136,4.184165145,3.250446895,Negative,neutral
11,did n't realize bob dole was mentioned in tupac 's how do you want it # yesterdays leaders #,-0.03371257,0.093590744,-0.03371257,3.388365927,3.733780414,3.020287666,Negative,neutral
12,if i run for office this will be my original logo am # liberty not hillary # # hill no # # t cot # # unite blue #,-0.036247082,0.08824868,-0.036247082,3.885381033,4.359624478,3.154671004,Positive,oppose
13,i will be there when your little tree has run out of smell # that champion #,-0.037418514,0.10979588,-0.037418514,4.459276642,4.402377528,2.809866584,Neutral,neutral
14,crazy to think next up for the oval office is either going to be hillary or a republican,-0.036021836,0.08841691,-0.036021836,4.24490614,4.61830622,3.644795789,Negative,oppose
15,nacl a brasil wire same old s t obama who ? ? barack obama ? ? ) ) ) ) are you joking ? # stop dil ma # # stop lula # # stop for odesa o paulo #,-0.005120827,0.20506243,-0.005120827,3.848844659,3.571374024,2.140158806,Positive,neutral
16,cheeky gent chuck c johnson hey hillary is on her to way to buy votes too ! # hillary so old #,-0.02763065,0.113132164,-0.02763065,4.544543388,4.8849018,3.459910989,Positive,oppose
17,"rt nicola sturgeon it 's official hillary 's running for president , says her campaign chief excellent !",-0.025269888,0.115707904,-0.025269888,3.985459902,4.200563368,3.034369834,Negative,support
18,only in a sexist as fuck world would we question the qualifications of a former secretary of state,-0.033708505,0.09065715,-0.033708505,2.894126938,2.830047202,1.233568576,Positive,support
19,chris christie could n't run his way out of a paper bag let alone beat # hillary clinton # go home chris you are drunk # chris christie #,-0.003284052,0.22402002,-0.003284052,4.371301647,4.713390476,3.732958784,Negative,support
20,reformed broker to the hon ies gittin money playing # bleep # words like dummies # poppa #,-0.028743142,0.112126276,-0.028743142,4.064624586,4.357834355,3.264341892,Negative,neutral
21,forgive # cheryl rios # of her stupid comments about women being president she will blame it on that time of the month anyways,-0.030411702,0.10183593,-0.030411702,4.058160811,4.435360985,3.186833019,Negative,neutral
22,low key it would be interesting to have a female president,-0.03751669,0.10227227,-0.03751669,3.280503265,3.696728166,2.80344224,Negative,support
23,"sean hannity we lost for , 000 of our military boys when your president pulled out of iraq # liberal consequences #",-0.0340182,0.08930882,-0.0340182,4.970296139,5.205337811,4.058859702,Negative,oppose
24,ethan obama i know it 's just going to be a long year !,-0.033012845,0.09082036,-0.033012845,3.150795274,3.550603392,2.701899435,Negative,neutral
25,"technically , a president with raging hormones could refer to estrogen , testosterone or anabolic steroids # i blame public schools #",-0.032891028,0.09537783,-0.032891028,4.391203793,4.697364071,3.595476008,Negative,oppose
26,does hillary really need to run this country ? could we just make her president of the bingo club at shady pines ? # t cot # # p2 #,-0.02824914,0.10320567,-0.02824914,3.904205709,4.285495846,3.234020328,Negative,oppose
27,laughing out loud why do so many people around here hate hillary ?,-0.03753195,0.10196458,-0.03753195,3.604840903,3.793705298,2.777056268,Positive,support
28,"hillary clinton is at the top , and has spent her whole career growing government , keeping the deck stacked # liberty not hillary #",-0.030877281,0.094475366,-0.030877281,4.332609743,4.460291903,3.103197937,Positive,oppose
29,"problem with # libertarian # is it 's not even a decreed party a house divided against itself , will not stand think this news to",-0.03595084,0.08995104,-0.03595084,4.45354301,4.744637292,3.459532656,Positive,neutral
30,hillary clinton i am portuguese and i support your campaign ! best luck ! the world need a person and a women like you ! # usa #,-0.011796048,0.14943618,-0.011796048,3.861575007,4.263629564,3.361253189,Negative,support
31,hillary clinton for ambassador to isis,-0.036143154,0.09130211,-0.036143154,4.644873579,4.532431835,3.002925332,Negative,oppose
32,"so when all you brave patriots stop hillary , who you going to replace her with , jeb bush ? laughing out loud # losers #",-0.028044917,0.10481772,-0.028044917,4.030283871,4.403986944,3.36456357,Negative,support
33,i'm a woman can i be president ? stop hillary pac,-0.035607196,0.09220519,-0.035607196,4.948863324,5.393373851,3.850719924,Positive,oppose
34,this is not her first time at the rodeo ! hillary clinton does n't care who likes her or not this woman is on a mission # tough #,-0.029188737,0.102200314,-0.029188737,4.180004299,4.604578625,3.626611896,Negative,support
35,la jou et reine kar ratti paul i'm not a gen italian,-0.028431932,0.13850203,-0.028431932,3.674251011,4.051112598,3.090736616,Negative,neutral
36,wondering what the next idiotic gop smear against hillary clinton will be it 's coming for sure just do n't know details yet,-0.013921695,0.14941537,-0.013921695,3.894167128,3.832167068,2.291650582,Neutral,support
37,hillary is killing it so far on the trail she 's finally showing her personal side and i think it will benefit her profoundly,-0.035024133,0.090280935,-0.035024133,4.462700473,4.76969555,3.771971781,Negative,support
38,do we call bill mr president the first 1st man of or mr president the 1st man ? laughing out loud # im ready for hillary #,-0.022341162,0.13294631,-0.022341162,3.627680096,3.997035297,2.982081751,Negative,support
39,gail talk tr scoop of course it was she 'll be handled every step of the way they ca n't risk her unscripted,-0.028602872,0.103874974,-0.028602872,5.364415586,5.308154126,3.734167037,Negative,oppose
40,i just want my dog to stop eating the trash,-0.037288442,0.09272055,-0.037288442,3.821666115,4.151495138,3.095260151,Negative,neutral
41,the hill evan perez are you kidding me leave her to focus on issues the next prez,-0.035133507,0.09099106,-0.035133507,3.326856793,3.814981174,2.885291218,Negative,support
42,congratulations hillary clinton on entering the 2016 race for president ! you have the support of jews all over the world !,-0.02161454,0.12192634,-0.02161454,5.841455529,6.061004023,4.653956694,Positive,support
43,"hillary clinton had more twitter followers then all four major republican candidates ( bush , rubio , paul , cruz ) combined",-0.026937056,0.10827002,-0.026937056,3.783768039,4.014438866,2.902946683,Negative,support
44,# hillary clinton # has yet to release clinton fd n donors public deserves disclosure # scandals # # lies # # clinton #,-0.030517159,0.10239017,-0.030517159,6.283416127,6.445977799,5.021193778,Negative,oppose
45,i want to go back in time to when men and women could n't appear in the same yearbook as each other # old # school,-0.029053826,0.09964799,-0.029053826,4.197697284,4.457723187,3.254883867,Negative,neutral
46,rt hale razor # hillary accomplishments # 1 of select few people fired for being too unethical too investigate watergate,-0.03196608,0.09831186,-0.03196608,3.678536906,4.186156737,2.401714994,Positive,oppose
47,how can she live with herself ? # benghazi #,-0.032637082,0.15178525,-0.032637082,4.716846985,4.512996559,3.134578476,Positive,oppose
48,marriage equality a constitutional right ! woohoo # hrc 2016 # # hillary clinton # # ready for hillary # # vote # # hillary for 2016 # # ## m pot us #,-0.012110341,0.22827926,-0.012110341,3.197181432,3.845678082,2.169114294,Positive,support
49,hillary needs to go to a sheetz gas station after 10 pm to see the real america,-0.030300852,0.098144725,-0.030300852,5.957674451,6.122396184,4.66971168,Positive,oppose
50,hillary 's campaign events are scripted dog pony shows designed to shelter her from vetting before the coronation,-0.034236696,0.089361444,-0.034236696,3.215855674,3.741849598,2.159488604,Positive,oppose
51,"yes , do tell us , name one of her accomplishments",-0.036278278,0.08966799,-0.036278278,5.375783759,5.595692367,4.341178462,Negative,oppose
52,"apparently , putting cocaine in someone 's butthole and then waiting for them to fart in your face is the wrong way to get high",-0.030080156,0.100515954,-0.030080156,4.645288061,4.635725976,3.298951903,Negative,neutral
53,why is hillary lying again about something news worthy ? what 's news worthy is if she does n't lie about something,-0.034012306,0.0900805,-0.034012306,2.808180925,3.530093583,2.077121447,Positive,oppose
54,chipotle employees should n't complain hillary left nothing in the tip jar they 're lucky she did n't dip in and help herself,-0.030800264,0.10598647,-0.030800264,4.27317,4.239755355,2.594375612,Negative,oppose
